period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,6658.243,3359.0,3359.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,6658.243,3359.0,3359.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,6658.243,3359.0,3359.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,6658.243,3359.0,3359.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,1217.713,499.0,499.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,1217.713,499.0,499.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,1217.713,499.0,499.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,1217.713,499.0,499.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,5440.53,2860.0,2860.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,5440.53,2860.0,2860.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,5440.53,2860.0,2860.0,kg
2022,620,Portugal,56,Belgium,110220,Cereal flour; of maize (corn),X,Export,5440.53,2860.0,2860.0,kg
